Category;body
autres-contributions;"Avant la mise en place de nouvelles technologies, il est indispensable d'en étudier l'impact écologique.

L'écologie doit passer avant l'économie et le cas de la 5g est un contre-exemple frappant. Quel est le coût écologique de la mise en place de la 5g (nouvelles stations émettrices, satellites, renouvellement du parc de téléphones mobiles, nouveaux objets connectés ...),  l'impact environnemental qui en découle (rejets CO2, ressources necessaires, exposition aux rayonnements de tout l'écosystème...). 

Sachant tout cela, avons nous réellement besoin de connexions plus rapides ? Le rapport utilité/coût écologique de la 5g est finalement très bas. Et après, la 6g et on recommence ?

Les décisions de mise en place de nouvelles technologies devraient être prises de manière démocratique en tenant compte des impacts écologiques."
autres-contributions;"Notre système politique actuel ne semble pas adapté pour traiter les problèmes de type changement climatique qu'il n'a pas traités à la hauteur des besoins depuis des décennies. Il me paraît important, au delà de mesure pour traiter la question du climat, de proposer des mesures pour améliorer la prise en compte de ce types de sujets (sujets environnementaux notamment) par notre système politique, nos institutions. 

Une proposition pourrait être d'inscrire dans la loi ou constitution que les citoyens peuvent demander l'ouverture d'une convention citoyenne sur un sujet qui leur semble important, du type de cette convention climat. Si la demande récolte suffisamment de signatures de citoyens (500 000 ? 1 million ?), le gouvernement a obligation de lancer une convention dans un délai d'un an.

C'est une première proposition pour ouvrir la discussion. Il y a sans doute des options plus pertinente, je fais confiance à l'intelligence collective de la convention sur le sujet. Le point central est de s'attaquer à l'incapacité de notre système actuel à réagir assez tôt et de manière adapté à des problèmes du type changement climatique (exemples purements illustratifs : perte de biodiversité, perturbateurs endocriniens, accompagnement humain des personnes agées en pertes de capacités, etc.)"
autres-contributions;"La présentation de Laurent Michel lors de la session du 25 octobre, montre que l'empreinte carbone de chaque Français à augmenté entre 1995 et 2017 de 7% malgré les efforts entrepris depuis de nombreuses années. La population de la France est passée de 58 millions d'habitants en 1990 à 67 millions en 2019 (augmentation de plus de 20%).
Si la population devait encore augmenter 20% d'ici à 2050, cela rendrait l'effort nécessaire pour tenir nos engagements de réduction des émissions de gaz à effet de serre pour 2030 et 2050 totalement impossible à tenir. Il est donc urgent d'avoir une politique de planning familial adapté aux engagements de la France en matière de climat si l'on ne veut pas abaisser drastiquement le niveau de vie des jeunes générations."
autres-contributions;"Puisque le dérèglement climatique est dû à l'activité humaine, il me semble impératif de discuter du sujet démographique : moins d'humains sur cette terre, c'est moins d'émissions de CO2.
Une idée radicale serait d'en arriver à la politique de l'enfant unique, mais cela me semble compliqué à mettre en place, notamment sur le plan éthique : qui suis-je pour interdire à d'autres êtres humains d'avoir un enfant. Peut-être 2 enfants max par famille ??? :-)
Autre idée toute aussi fondamentale sur le plan éthique : la fin de vie. Pourquoi ne pas légaliser l'aide à la fin de vie comme cela est fait en Suisse ? Une personne malade ayant un diagnostic clair, précis, et catégorique aurait la possibilité de pouvoir mourir dignement et sans souffrance. 
Un peu plus loin dans la radicalité, passé un certain âge, une personne qui se dirait ""c'est bon, j'ai assez vécu, et je n'ai pas envi de me regarder vieillir plus"" ; que ces personnes puissent mettre fin à leur jours dans la dignité et sans souffrance.
Et dernièrement, au niveau international, qu'en est-il des pays en plein boom démographique ?"
autres-contributions;"Grâce au tirage au sort, vous nous représentez collectivement mieux que n'importe quelle assemblée élue ou nommée. Mais de fait, votre niveau de connaissance sur ces sujets complexes et souvent polémiques (climat, énergie, agriculture, fiscalité,...) est aussi faible collectivement que le nôtre. Est-ce une fatalité? Pourquoi le temps qui vous est alloué pour faire le long chemin d'acquisition, de confrontation et de maturation des connaissances sur ces sujets, est-il si ridiculement réduit? Vous vous en êtes plaints, vous avez dit plusieurs fois manquer d'information.

A titre d'exemple, vous n'avez eu droit qu'à un exposé de Jean-Marc Jancovici de 5', alors que ses conférences font 1h30 et que son cours à destination d'élèves ingénieurs, qui ont davantage de bases en physiques que la plupart d'entre nous, dure 8h.

Alors certes, la plupart de nos élus ne sont pas mieux instruits... Mais là aussi, vous pourriez faire mieux qu'eux!

Seriez-vous prêts à passer davantage de temps pour la Convention? Si oui demandez-le, prenez-le! Vous êtes notre meilleur espoir."
autres-contributions;Mettre en place un ministere de l ecologie et biodiversité indépendant et au-dessus des autres ministeres au niveau national et européen , avec droit de regard et véto sur toutes décisions prises. Chaque décisions fera l objet de l impact sur l empreinte carbone, comment elle sera compensée, et aussi sur la protection et développement de la biodiversité. Négocier cette mesure au niveau mondial.
autres-contributions;"Afin de mettre en place fiscalité verte et qui éviterait aussi fuite carbone aux frontières, pourquoi ne pas substituer une partie de la TVA en taxe carbone dont le taux global serait neutre pour le consommateur pour les produits verts et français ou européens (moindre éloignement). le calcul de la taxe carbone serait assujettie à des indicateurs sur conso élec, eau, empreinte carbone et serait vérifiable par état et citoyen. en commençant par exemple par alimentaire puis automobile...
transformer une partie de la TVA actuelle en taxe équivalente carbone pour faire en sorte de rendre importation et production local à arme égale au niveau achat suivant des critères définis, maitrisable par la collectivité (nation...) et révisable de manière indépendante (état et société civile) et périodique (tous les ans...) pour tenir compte des évolutions technologiques et de production. intégrer des consommations d'eau dans cette taxe carbone pour tenir compte de la rareté de cette ressource précieuse"
autres-contributions;"Le cadre de la convention citoyenne est très étroit puisqu'elle se concentre uniquement sur le climat. Or, d'autres problématiques, entrelacées avec celle-ci, mettent en danger une grande partie de la vie sur Terre, à savoir notamment l'effondrement de la biodiversité (cf l'IPBES : https://www.ipbes.net/news/Media-Release-Global-Assessment-Fr) et le dépassement écologique (fait de prendre plus à la planète que ce qu'elle peut nous donner : si tout le monde sur Terre vivait comme en France, nous aurions besoin de 3 planètes). Il serait catastrophique de traiter la question climatique sans traiter les autres : cela pourrait conduire à adopter des dispositifs qui n'émettent pas directement de gaz à effet de serre, mais qui détruisent tout autant la vie sur la planète par l'extraction, la destruction des milieux, la pollution...
De plus, le fonctionnement et les étapes du travail de la convention n'ont pas été fixés par les citoyens eux-mêmes. Que les citoyens demandent l'autonomie de la convention, l'élargissement des thèmes traités, et bien sûr l'allongement de sa durée."
autres-contributions;"Bonjour,
Chaque citoyen se voit octroyer un crédit carbone annuel en phase avec les objectifs de la transition écologique.
Ce crédit sert pour les déplacements et la consommation énergétique.
Si le citoyen est vertueux et ne consomme par tout son crédit, il peut le monnayer avec une personne qui elle, consomme plus.
Ainsi la transition écologique peut devenir une source de revenus pour certains.
En fait, il s'agit de mettre en place ce qui existe pour les entreprises, pour les particuliers."
autres-contributions;Avant de pouvoir vraiment engager une diminution de GES c'est le modèle économique et social qu'il faut changer. Il faut faire des propositions dans ce sens
autres-contributions;"(Cette contribution est ""transversale"", car elle concernerait au moins les thématiques ""se loger"" et ""travailler et produire"")
La réflexion sur le gaspillage alimentaire peut être portée de manière analogue sur la construction de bâtiments au sens large. L'idée centrale est de créer du lien entre les maîtres d'ouvrages pour optimiser les matériaux BTP utilisés et favoriser leur réutilisation. Aussi bien pour des projets d'ouvrages parallèles que successifs. Cette collaboration peut être chapeautée par les communes/collectivités qui accordent les permis.
Une idée à approfondir : procéder à une mise en commun des zones faisant l'objet d'un permis de construire, afin de les appréhender comme un seul et même chantier, et ainsi faciliter l'atteinte de l'objectif que je décris ici sommairement.

Une illustration de cette idée pourra être trouvée dans la ville de Miramas (13)."
autres-contributions;"Débattre de la diminution de 40% des émissions de GES sans aborder le sujet de la croissance est une aberration.
C'est le sujet essentiel de notre société et de son possible effondrement. Toute croissance a une fin, c'est un fait.

Pour rester dans le cadre de cette convention, baisser de 40% les émissions de la France, signifie (avec une croissance faible comprise entre 1% et 2%) diminuer de plus de 60% les émissions actuelles. En effet d'ici, 2030 avec une croissance faible le PIB aura augmenté de plus de 20 à 30%.
La société française sera donc plus ""grande"", cela nécessitera donc plus ""d'efforts"" pour diminuer de 40% nos émissions.

Problème, notre société et son économie ne savent que croitre. Sans parler de décroissance, réfléchir et se préparer à vivre dans une société sans croissance est selon moi un sujet essentiel.

(Note : je ne suis pas économiste, ni devin, les chiffres sont très très approximatifs)"
autres-contributions;"Aujourd'hui, lorsqu'on regarde les émissions de gaz à effet de serre (GES) d'un pays, on ne voit que celles qui ont été émises sur le territoire national. Cependant, cela occulte une grosse partie des GES : l'énergie grise. Par exemple, pour un jouet produit en Chine mais utilisé par un petit Français, le coût énergétique sera pour la Chine ; et c'est la même chose à la fin de vie du jouet s'il est ""recyclé"" à l'autre bout du monde.
Ainsi, je propose de créer un nouvel indice qui prendrait mieux en compte les GES qu'on exporte (par exemple, en arrêtant la production du gaz de schiste en France mais en allant en chercher en Algérie) et qu'on importe (marchandises). Cela nous mettrait encore plus en face de nos responsabilités de pays du nord, donnerait des indications pour agir et serait plus juste envers les pays en développement."
autres-contributions;"J'ai suivi les débats en vidéo et il me semble qu'un point manque. Traiter de la gouvernance des institutions, administrations, entreprises, ... etc est essentiel pour enrayer l'ensemble des dégradations du vivant, dont le réchauffement climatique. 
Une des raisons données à la dégradation de l'environnement est le manque de décision locale. En effet, quand l'aménagement du territoire se décrète loin d'une région, quand une multinationale s'installe quelque part...etc les décisions sont prises par des personnes qui ne sont pas directement concernées et qui donc peuvent faire l'impasse sur la qualité de vie en un lieu et donc l'environnement. La participation des personnels, agents ou salariés est également essentielle : ils refuseront bien souvent ce qu'une direction souhaitera imposer car ils seront soit les premiers concernés (maladies professionnelles liées au polluant par exemple) soit en conflit sur le plan éthique.
Isabelle Delannoy (auteure de ""L'économie Symbiotique"") traite cette question dans son modèle : elle propose un recours aux coopératives, à des entreprises sur un mode de gouvernance partagée, au développement des communs, ...etc, et, le tout à un échelon local. Je rajouterai à cela le problème de l'éloignement de plus en plus important de l'état (réduction des services publiques) et de la région (fusion des régions) des enjeux locaux."
autres-contributions;Pourquoi la convention n’est elle pas retransmise sur Lcp, ou France 4 ou France 5 ou France 2? Ainsi tous les français même ceux qui n’ont pas internet pourraient en prendre connaissance ?
autres-contributions;"Notre mauvaise constitution étant la cause de l'injustice climatique, sociale et démocratique, les membres de la Convention Citoyenne pour le Climat font le serment de ne pas se quitter avant d'avoir écrit une constitution protectrice pour le France et qu'elle ait été approuvée par référendum.
En savoir plus : https://youtu.be/58IebXsE3xA
Et http://www.le-message.org/?lang=fr"
autres-contributions;"Le problème du climat est la partie émergée de l’iceberg, en l’occurrence la dégradation de notre planète par les ravages de l’activité humaine : industrialisation et société de consommation. 
Même si certains d’entre nous réduisent drastiquement leur consommation et leur impact sur l’environnement, le monde sauvage est sévèrement menacé.
Notre espèce n’a aucun prédateur, et nous maîtrisons toujours mieux la médecine, ce qui nous fait vivre plus longtemps de génération en génération.
Quel déséquilibre profond par rapport aux autres espèces, animales et végétales !
Prenons conscience de notre pouvoir de nuisance, réduisons notre natalité, et aidons ceux qui le souhaitent à en faire autant."
autres-contributions;"-Taxes carbone sur tous les transports polluants avec des carburants fossiles avion, transports routier et maritime, voitures.
-Taxer les vols aériens intérieurs.
-impôts sur le capital financier en taxant les plus riches, les transactions financiers.
Taxe sur les déchets non compostables de la restauration rapide.

PRIMES ET INCITATIONS
-primes mobilités durables vélo, covoiturage, autopartage, doublée pour faire la différence.
-primes changement de véhicules bonifiées pour revenus modestes et médiants.
-politique tarifaires à petits prix pour tous les transports en commun et les surtout les TER.
-réduction tarifaire pour les péages autocars, covoiturage.
-TVA réduite sur le réemploi, la réparation, la bio.
-Empunts rénovation énergétique performante à très faible taux d'intérêt et à capital important comme pour les bailleurs sociaux.
participation de l'état par primes rénovation mensuelles si emprunt rénovation passive.
prise en compte de la baisse des factures énergetique par les banques dans les plans de financement.
-Tarifs dégressifs des énergies pour inciter à la sobriété.
-Conditionnalité de toutes aides publiques à des actions vertueuses pour l'environnement."
autres-contributions;"Cet accord, ratifié par la France en 1994, soumet nos services publics ""à vocation de rentabilité"" à la concurrence (privatisation, délégation de services publics...) : Alimentation en eau potable, Epuration des eaux, Traitement des déchets, Télécommunications, Transports, Fourniture d'Energie électrique etc.
Tant que la France ne dénoncera pas cet accord, toutes nos tentatives de rétablissement de nos services publics ne serviront à rien, y compris la tentative d'empêcher la privatisation d'ADP.
Une fois que nous sortis de cet accord, nous pourrons envisager un plan d'investissement massif pour renouveler les infrastructures, y compris routes, voies ferrées etc. Source de financement ? Taxe sur le Trading à Haute Fréquence par exemple."
autres-contributions;Si les pays occidentaux sont devenus si riches, c’est notamment grâce à l’utilisation d’énergie fossile, qui a déjà réchauffé la planète de plus d’un degré. Ce faisant, les pays riches ont développé des infrastructures modernes auxquelles aspire désormais le reste du monde. Les pays riches ont une responsabilité vis-à-vis du reste de l’humanité, qui va subir les conséquences climatiques de leur mode de vie privilégié. Aussi, il semble de notre devoir de financer le surcoût que représentent pour les pays à bas revenus les infrastructures non polluantes. Le Fonds vert pour le climat a été créé dans ce but, mais les versements des pays riches n’ont totalisé que 10 milliards de dollars en quatre ans, très loin des 100 milliards de dollars annuels promis pour 2020. La France devrait porter sa contribution à 8 milliards de dollars par an, afin qu’une transition écologique s’amorce partout dans le monde.
autres-contributions;A quand un grand audit en France ? Du traitement de nos déchets à leur recyclage, il semblerait que l'ensemble des filières ne soit ni assuré ni maîtrisé. L'encombrement chez les prestataires collecte laisse penser que la partie recyclage reste à parfaire. Au-delà des émissions de CO2 des quantités incinérées alors que potentiellement recyclables, il y a des emplois, du lien, un savoir faire qui pourraient découler de cette étude.
autres-contributions;"La taille de la population est un facteur déterminant des émissions de gaz à effet de serre (GES). Cela est bien illustré par l'équation de Kaya, qui est très simple, et qui dit qu'une quantité Q_TOT générée par un groupe de personnes est le produit de la quantité moyenne par personne, q, par le nombre N des personnes : Q_TOT = N x q.
Donc limiter la population, ou mieux la faire diminuer, est un moyen efficace pour réduire les émissions de GES. L'impact d'une contraction de la population se ferait sentir dans tous les champs sur lesquels il est demandé à la Convention de travailler.
La puissance publique dispose d'outils qui lui permettent d'agir dans ce domaine. Il ne s'agit évidemment en aucun cas de copier la politique de l'enfant unique, cruelle et brutale, pratiquée  par la Chine ces dernières décennies. Mais il existe aussi des politiques incitatives qui ne sont pas traumatisantes.
Ainsi en France, il faut se rendre compte que la politique familiale actuelle est nataliste, puisque le premier enfant ne donne droit à aucune allocation (ce qui n'est pas très juste !), tandis qu'à partir du troisième chaque enfant supplémentaire donne droit à une nouvelle allocation de même montant, ce qui incite aux familles nombreuses.
On pourrait, sans remettre en cause la politique familiale ni même son coût global, modifier ces modalités, en attribuant une allocation pour le premier enfant, et ensuite en attribuant des allocations dégressives pour les enfants suivants"
autres-contributions;"L'objectif serait de déterminer un budget carbone fixe par personne, à partir de droits d'émissions individualisés et échangeables.
La première étape serait de réaliser un audit carbone individuel, à partir d'un questionnaire à domicile.
La deuxième étape serait de simuler un objectif de réduction de 40% des émissions de CO2 d'ici 2030 sur la base d'un catalogue de solutions personnalisées et chiffrées, permettant ainsi de calculer combien cela coûterait à la personne et  combien cela lui rapporterait en économies d'énergie.
Par exemple, renoncer à l'avion et à l'automobile pourraient être motivés par une réduction des dépenses dans le budget familial. L'avantage des modes de vie bas carbone est en effet qu'ils sont moins coûteux, et que les comportements vertueux peuvent donner lieu à un enrichissement des relations sociales.
Comment rendre désirable la vie bas carbone ? L'action individuelle doit être publiquement légitimée et reconnue. A l'échelle individuelle, une carte carbone permettant d'échanger des permis individuels négociables serait une piste alternative à la taxe carbone."
autres-contributions;"Au lieu que ce soit aux citoyens d'entreprendre de laborieuses démarches pour parvenir à installer un composteur dans leur résidence, faisons en sorte que la présence des composteurs soit rendue systématique au même titre que les autres poubelles (poubelles de tri et d'ordures ménagères). Et ce aussi bien chez les particuliers que dans les entreprises publiques et privées.
J'ai pu observer à Lausanne en Suisse que cette pratique était déjà présente, y compris dans des immeubles ne disposant pas d'espaces verts. En effet, il y avait des poubelles de déchets verts pour les ordures ménagères compostables dans le local à poubelle. Pourquoi ne ferions-nous pas la même chose en France?"
autres-contributions;"Je tenais d'abord vous féliciter pour le travail que vous entreprenez avec beaucoup de sérieux et d'implication. C'est passionnant à suivre sur internet.
Un point qui pourrait faire l'objet d'un travail à approfondir serait d'identifier les économies d'énergie à l'échelle de la société qui pourraient être mises en place (chasse au gaspi). Quelques exemples d'économies à réaliser : l'éclairage des villes la nuit, des commerces, des publicités lumineuses ; suppression des écrans publicitaires (trop gourmands en ressources, revenir aux affichages classiques) ; emballages à réduire (y compris étiquetage individuel des fruits même bio, ce qui est une aberration).
Voir s'il existe un organisme qui travaille déjà sur ce sujet, sinon il serait peut-être utile d'en créer un ou de rajouter ce travail d'identification des économies à un organisme déjà existant.
La réflexion sur le gaspillage doit nous amener même à remettre en question certaines pratiques ou du moins à en limiter l'impact écologique. Je pense au sport automobile, mais il y en a certainement d'autres. Peut-être exiger des organisateurs de grandes manifestations sportives ou artistiques de publier leur empreinte carbone et de communiquer sur les mesures qu'ils prennent pour en limiter la portée.
D'une manière générale, il nous faut retrouver le sens originel du mot “économie”, qui présuppose justement de ne pas gaspiller, le contraire de ce vers quoi nous a amené un mode de consommation effréné."
autres-contributions;"Il existe des modèles d'explication et compréhension des crises que nous vivons avec une vision d'ensemble et des réponses vivantes et inspirantes.
C'est le cas de la philosophie pragmatiste qui allie la démocratie délibérative à l'intelligence collective et a montré que le néo libéralisme a détourné cette intelligence  vers les  seuls enjeux économiques.
C'est le cas  de la permaculture qui, appuyée sur les trois concepts de 1/prendre soin de la terre,2/ prendre soin des hommes,3/ partager équitablement, est l'art de concevoir des espaces de vie,des territoires fonctionnels,  des métiers et des vies riches de sens , inspirés de la nature . 
Je pense qu'il serait souhaitable d'inviter des intervenants de qualité pour partager ces visions et ces solutions.
 Par exemple Barbara Stiegler  (professeur de Philosophie politique à l'Université de Bordeaux Montaigne) qui a publié cette année un essai sur les bases évolutionniste de la pensée néo libérale. ("" ""Il faut s'adapter"" sur un nouvel impératif politique"" ed Gallimard)
Elle y démontre le biais finaliste de cette pensée et invite, à travers la pensée philosophique de John Dewey, à repenser nos modèles sociétaux.
Du côté de la permaculture, je pense à Gildas Veret(ingénieur des Mines de paris, “implication dans le projet de transition sociale et environnementale Pôle 21)
Auteur de""Permaculture, créer un mode vie durable, comprendre les enjeux et concevoir des solutions "" éd Rustica."
autres-contributions;"L'équilibre est dans la Nature, chaque espèce a son utilité et l'homme détruit cet équilibre en exterminant ne serait-ce qu'une seule espèce qui était le prédateur d'une autre... Rien qu'en France, il y a 45 millions d'animaux tués à la chasse, dont plus de 21 millions qui proviennent d'élevages, relâchés lâchement pour la chasse; ce qui fait plus de 50%! Et après on nous parle de régulation ??? Toutes ces balles en plomb qui polluent la Nature, des silencieux autorisés qui causent encore plus d'insécurité à tel point que les promeneurs ne se promènent plus.
La Nature se régule toute seule! L'humain ne fait que saccager son lieu de vie (jusqu'à même dans l'espace), pourquoi vouloir tout s'approprier quitte à s'autodétruire ?!?

La plupart des gens qui m'entourent ne connaissent pas la réalité apocalyptique de l'avenir du climat alors au lieu de nous abrutir avec de la monnaie, il vaudrait mieux avertir tout le monde pour réagir à temps, car le climat ne s'achète pas."
autres-contributions;"En augmentant fortement les prix des matières 1eres cela permettrait aux producteurs, industriels de trouver des solutions alternatives notamment en développant la filière recyclage au plus près des lieux de stockage, collecte, transit, de commercialisation pour réduire les GES en les envoyant chez les producteurs pour les obliger à s'équiper de moyens de recyclage et donc traiter ces déchets en valorisation matière pour augmenter le cycle de vie de ces matières puis en les réincorporant au maximum  issues du processus de recyclage au détriment des matières 1eres dont celles fossiles ou de provenance lointaine (importation) ce qui limite les GES fortement.
Voire même imposer un seuil de matières recyclées par secteur d'activité ou d'entreprises sous peine de sanctions administratives ou financières (malus ou taxe) et à l'inverse (bonus) pour les bons élèves.

Inciter par un engagement contractuel fort leurs fournisseurs à la démarche sous peine de prendre des fournisseurs engagés.

Réflexion à communiquer sur l'image de marque de ces entreprises s'engageant dans ce processus avec un rapport annuel et indicateurs quant à leurs contributions, résultats et performances disponible et facilement accessible aux citoyens, tous les acteurs, clients,"
autres-contributions;"Les produits de consommation (y compris les énergies) devraient avoir une vignette de type ""Crit Air"" pour accéder à la publicité.

Au-delà du ""CRIT AIR 3"" il serait interdit de faire la publicité du produit.

Il faut savoir si l'heure est à l'urgence ou pas, et bloquer les produits incompatibles avec les progrès à faire."
autres-contributions;Arrêter l'installation des canons à neige qui représentent une fuite en avant alors que les stations de ski doivent réfléchir à un avenir avec moins de neige !
autres-contributions;"Ma contribution concerne à la fois SE NOURRIR, SE LOGER, CONSOMMER

Sujet : favoriser les éco-hameaux
Les lois sur l'immobilier, les terrains, les plans d'urbanisme, etc. sont un énorme frein.

Proposition :
Je propose de faciliter au niveau législatif
- l'achat de terrains en collectif ou individuel quand le but est de cultiver, de planter dans une logique biologique.
- faciliter la conversion de terrains non constructibles en terrain de cultures avec habitat léger.
- de faciliter en général les constructions bioclimatiques et autonomes en leur donnant la priorité sur les plans d'urbanisme et le choix des élus locaux imposant une certaine apparence ou obligeant à se raccorder au réseau.
- proposer des formations courtes d'agriculteur ou maraîcher biologique, ouverte à tous, étudiant, chômeurs comme actifs (par exemple une formation chaque week-end organisée dans chaque région).

En gros alléger la législation et que le droit national s'impose aux maires lorsque l'on a un projet d'habitation ou d'éco hameau écologique. Il faut prendre en compte que ce genre de lieu pourrait produire de façon locale de la nourriture pour les habitants de la région et pas seulement pour les habitants de l'écolieu en question.

Merci"
autres-contributions;"Oxfam en 2015 évalue que «l’empreinte carbone des 10% plus riches de la planète est (...) 60 fois plus élevée que celle des 10% les plus pauvres.» (ordres de grandeur semblables pour Piketty Chancel, 2015).  Mais il s‘agit d’émissions comparées dans le monde.
Pour la France, l’INSEE –en 2010- donne comme émissions de t. CO2/pers., en moyenne: Ouvriers: 5 / Employés: 5,7 / Agriculteurs: 5,8 / Professions intermédiaires: 6,9 / Indépendants: 7,3 / Cadres: 8,1. Soit un écart de 1 à 1,6 entre CSP. 
Haalebos et Malliet (2019) donnent un rapport de 1 à 2,5 entre 1er et 10e décile (=10 % moins riches/ 10 % plus riches), avec des dispersions importantes autour des moyennes : des plages de recouvrement ENTRE déciles existent https://bit.ly/32Q4Vst. D’où:
A-	Les inégalités majeures se situent entre les pays (1 à 60). Tout Français, de par son niveau global de bien-être, a plus d'impact que l’habitant moyen d’un pays en développement. La justice environnementale commence là.
B-	La convention l’a souligné, les inégalités internes à la France, de 1 à 1,6 ou 2,5 appellent des instruments touchant de façons différentes les classes de revenu. 
C-	Au-delà des moyennes, les comportements individuels sont déterminants: tous les Français sont donc attendus pour un changement massif. Des mécanismes incitant à modifier les comportements de tous sont légitimes."
